รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
00470001,สพม.สกลนคร,47012001,สกลราชวิทยานุกูล,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,355,590,16,257,326,583,15,252,329,581,15,744,1010,1754,46,286,394,680,18,271,383,654,18,241,389,630,17,0,0,0,0,0,0,0,0,0,0,0,0,798,1166,1964,53,1542,2176,3718,99
00470001,สพม.สกลนคร,47012002,ดงมะไฟวิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,43,99,4,49,46,95,3,42,39,81,2,147,128,275,9,29,44,73,3,41,48,89,3,38,53,91,3,0,0,0,0,0,0,0,0,0,0,0,0,108,145,253,9,255,273,528,18
00470001,สพม.สกลนคร,47012003,สกลนครพัฒนศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,199,387,11,191,197,388,11,187,178,365,11,566,574,1140,33,118,156,274,11,90,162,252,11,127,208,335,11,0,0,0,0,0,0,0,0,0,0,0,0,335,526,861,33,901,1100,2001,66
00470001,สพม.สกลนคร,47012004,ธาตุนารายณ์วิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,301,577,15,223,345,568,15,227,303,530,15,726,949,1675,45,182,354,536,14,191,336,527,14,161,328,489,13,0,0,0,0,0,0,0,0,0,0,0,0,534,1018,1552,41,1260,1967,3227,86
00470001,สพม.สกลนคร,47012005,ท่าแร่ศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,41,92,3,62,60,122,3,77,49,126,3,190,150,340,9,34,53,87,3,34,50,84,2,27,56,83,2,0,0,0,0,0,0,0,0,0,0,0,0,95,159,254,7,285,309,594,16
00470001,สพม.สกลนคร,47012007,เฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัวภูมิพลอดุลยเดชฯ ทรงครองสิริราชสมบัติครบ ๕๐ ปี จังหวัดสกลนคร,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,21,57,2,31,21,52,2,28,22,50,2,95,64,159,6,8,15,23,1,4,21,25,2,8,26,34,2,0,0,0,0,0,0,0,0,0,0,0,0,20,62,82,5,115,126,241,11
00470001,สพม.สกลนคร,47012008,กุสุมาลย์วิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,159,335,9,133,188,321,9,113,145,258,8,422,492,914,26,86,123,209,7,76,150,226,7,106,150,256,8,0,0,0,0,0,0,0,0,0,0,0,0,268,423,691,22,690,915,1605,48
00470001,สพม.สกลนคร,47012009,โพธิแสนวิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,49,95,4,60,55,115,3,65,59,124,3,171,163,334,10,45,60,105,4,42,63,105,3,61,54,115,3,0,0,0,0,0,0,0,0,0,0,0,0,148,177,325,10,319,340,659,20
00470001,สพม.สกลนคร,47012010,เต่างอยพัฒนศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,75,147,4,69,85,154,4,63,75,138,4,204,235,439,12,72,68,140,4,58,72,130,4,50,77,127,4,0,0,0,0,0,0,0,0,0,0,0,0,180,217,397,12,384,452,836,24
00470001,สพม.สกลนคร,47012011,ร่มเกล้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,174,310,8,131,175,306,8,140,121,261,8,407,470,877,24,94,128,222,8,91,145,236,8,102,148,250,7,0,0,0,0,0,0,0,0,0,0,0,0,287,421,708,23,694,891,1585,47
