รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
00470001,สพม.สกลนคร,47012001,สกลราชวิทยานุกูล,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,334,589,16,240,357,597,16,260,327,587,15,755,1018,1773,47,312,401,713,19,278,388,666,18,270,382,652,18,0,0,0,0,0,0,0,0,0,0,0,0,860,1171,2031,55,1615,2189,3804,102
00470001,สพม.สกลนคร,47012002,ดงมะไฟวิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,80,2,55,38,93,4,46,44,90,3,143,120,263,9,27,29,56,2,26,42,68,3,39,46,85,3,0,0,0,0,0,0,0,0,0,0,0,0,92,117,209,8,235,237,472,17
00470001,สพม.สกลนคร,47012003,สกลนครพัฒนศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,207,386,11,178,194,372,11,210,213,423,12,567,614,1181,34,114,139,253,10,117,156,273,11,92,163,255,11,0,0,0,0,0,0,0,0,0,0,0,0,323,458,781,32,890,1072,1962,66
00470001,สพม.สกลนคร,47012004,ธาตุนารายณ์วิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,317,580,15,269,297,566,15,214,333,547,15,746,947,1693,45,186,351,537,14,182,344,526,14,188,329,517,14,0,0,0,0,0,0,0,0,0,0,0,0,556,1024,1580,42,1302,1971,3273,87
00470001,สพม.สกลนคร,47012005,ท่าแร่ศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,40,89,3,60,56,116,3,69,54,123,3,178,150,328,9,40,49,89,3,31,53,84,3,34,51,85,2,0,0,0,0,0,0,0,0,0,0,0,0,105,153,258,8,283,303,586,17
00470001,สพม.สกลนคร,47012007,เฉลิมพระเกียรติพระบาทสมเด็จพระเจ้าอยู่หัวภูมิพลอดุลยเดชฯ ทรงครองสิริราชสมบัติครบ ๕๐ ปี จังหวัดสกลนคร,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,41,2,31,20,51,2,28,23,51,2,83,60,143,6,12,18,30,1,6,13,19,2,3,19,22,2,0,0,0,0,0,0,0,0,0,0,0,0,21,50,71,5,104,110,214,11
00470001,สพม.สกลนคร,47012008,กุสุมาลย์วิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,150,303,9,166,153,319,9,115,186,301,9,434,489,923,27,94,123,217,7,78,118,196,7,71,144,215,7,0,0,0,0,0,0,0,0,0,0,0,0,243,385,628,21,677,874,1551,48
00470001,สพม.สกลนคร,47012009,โพธิแสนวิทยา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,51,116,4,49,52,101,3,72,64,136,3,186,167,353,10,60,59,119,4,46,58,104,3,50,65,115,3,0,0,0,0,0,0,0,0,0,0,0,0,156,182,338,10,342,349,691,20
00470001,สพม.สกลนคร,47012010,เต่างอยพัฒนศึกษา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,78,152,5,64,77,141,4,65,85,150,4,203,240,443,13,41,60,101,4,69,66,135,4,57,69,126,4,0,0,0,0,0,0,0,0,0,0,0,0,167,195,362,12,370,435,805,25
00470001,สพม.สกลนคร,47012011,ร่มเกล้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,127,252,8,137,172,309,8,131,172,303,8,393,471,864,24,105,124,229,8,87,126,213,8,85,144,229,8,0,0,0,0,0,0,0,0,0,0,0,0,277,394,671,24,670,865,1535,48
00470001,สพม.สกลนคร,47012012,ด่านม่วงคำพิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,48,2,21,14,35,1,5,18,23,1,51,55,106,4,16,22,38,2,11,10,21,1,9,12,21,1,0,0,0,0,0,0,0,0,0,0,0,0,36,44,80,4,87,99,186,8
00470001,สพม.สกลนคร,47012013,โพนพิทยาคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,70,2,31,32,63,2,35,41,76,3,100,109,209,7,16,26,42,2,20,40,60,2,13,28,41,2,0,0,0,0,0,0,0,0,0,0,0,0,49,94,143,6,149,203,352,13
